datetime,source_id,precipitation,pressure_msl,sunshine,temperature,wind_direction,wind_speed,cloud_cover,dew_point,relative_humidity,visibility,wind_gust_direction,wind_gust_speed,sensor_station,station,core,component,period,pm10
2019-08-03,6885.0,0.0,1014.1291666666666,35.44444444444444,18.995833333333334,152.91666666666666,6.55,59.125,12.6,70.75,35041.666666666664,,14.370833333333332,032 Grunewald,mc032,pm10,pm10_24h,24h,12.0
2019-08-04,6885.0,0.0,1015.3458333333333,23.72222222222222,18.404166666666665,288.75,9.575000000000001,53.333333333333336,13.158333333333333,74.16666666666667,45000.0,,17.754166666666666,032 Grunewald,mc032,pm10,pm10_24h,24h,11.0
2019-08-05,6885.0,0.0,1011.6666666666666,15.333333333333334,19.325,167.5,8.216666666666667,75.125,13.616666666666667,72.45833333333333,43958.333333333336,,15.054166666666667,032 Grunewald,mc032,pm10,pm10_24h,24h,13.0
2019-08-06,6885.0,0.041666666666666664,1009.0958333333333,25.88888888888889,20.958333333333332,266.6666666666667,9.525,71.45833333333333,15.941666666666668,75.79166666666667,36312.5,,18.366666666666667,032 Grunewald,mc032,pm10,pm10_24h,24h,15.0
2019-08-07,6885.0,0.22916666666666666,1006.4250000000001,13.166666666666666,20.125,230.83333333333334,9.841666666666667,82.0,16.2375,79.91666666666667,31958.333333333332,,17.379166666666666,032 Grunewald,mc032,pm10,pm10_24h,24h,15.0
2019-08-08,6885.0,0.0,1009.85,38.833333333333336,20.016666666666666,261.25,14.475,29.958333333333332,12.258333333333333,65.375,46250.0,,24.541666666666668,032 Grunewald,mc032,pm10,pm10_24h,24h,13.0
2019-08-09,6885.0,0.0,1011.5124999999999,34.77777777777778,20.849999999999998,222.91666666666666,7.3374999999999995,63.708333333333336,13.079166666666666,64.58333333333333,40416.666666666664,,14.65,032 Grunewald,mc032,pm10,pm10_24h,24h,13.0
2019-08-10,6885.0,0.0,1010.2208333333333,24.333333333333332,23.245833333333334,217.5,20.166666666666668,65.45833333333333,14.924999999999999,60.708333333333336,44375.0,,32.30833333333333,032 Grunewald,mc032,pm10,pm10_24h,24h,13.0
2019-08-11,6885.0,0.0,1014.025,33.611111111111114,22.008333333333336,256.25,12.345833333333333,48.166666666666664,12.6,57.75,48958.333333333336,,23.587500000000002,032 Grunewald,mc032,pm10,pm10_24h,24h,12.0
2019-08-12,6885.0,0.0,1013.7583333333333,15.277777777777779,19.900000000000002,249.16666666666666,13.579166666666666,80.33333333333333,12.5875,63.375,44583.333333333336,,23.954166666666666,032 Grunewald,mc032,pm10,pm10_24h,24h,24.0
2019-08-13,6885.0,0.0,1014.9125,33.05555555555556,17.645833333333332,266.6666666666667,17.695833333333333,55.0,9.954166666666667,62.666666666666664,46458.333333333336,,29.3,032 Grunewald,mc032,pm10,pm10_24h,24h,10.0
2019-08-14,6885.0,0.0,1016.8541666666666,39.166666666666664,16.004166666666666,247.08333333333334,11.65,34.708333333333336,8.083333333333334,62.541666666666664,45416.666666666664,,20.466666666666665,032 Grunewald,mc032,pm10,pm10_24h,24h,10.0
2019-08-15,6885.0,0.004166666666666667,1012.475,6.444444444444445,17.25,180.41666666666666,13.458333333333334,78.75,10.933333333333332,67.83333333333333,44791.666666666664,,24.099999999999998,032 Grunewald,mc032,pm10,pm10_24h,24h,12.0
2019-08-16,6885.0,0.0,1014.8958333333334,18.555555555555557,17.641666666666666,239.16666666666666,12.008333333333333,59.125,12.779166666666667,75.75,50208.333333333336,,20.3875,032 Grunewald,mc032,pm10,pm10_24h,24h,11.0
2019-08-17,6885.0,0.0,1010.6208333333334,11.666666666666666,19.616666666666667,177.91666666666666,14.758333333333333,84.16666666666667,11.8375,63.541666666666664,41250.0,,25.358333333333334,032 Grunewald,mc032,pm10,pm10_24h,24h,12.0
2019-08-18,6885.0,0.4458333333333333,1007.4,8.222222222222221,19.758333333333333,212.5,11.1625,82.625,17.25,86.95833333333333,33875.0,,19.425,032 Grunewald,mc032,pm10,pm10_24h,24h,8.0
2019-08-19,6885.0,0.0,1015.4208333333332,30.38888888888889,18.145833333333332,247.5,12.112499999999999,57.583333333333336,12.4125,74.20833333333333,38041.666666666664,,20.891666666666666,032 Grunewald,mc032,pm10,pm10_24h,24h,10.0
2019-08-20,6885.0,0.016666666666666666,1021.3625000000001,20.27777777777778,18.099999999999998,256.25,4.8875,83.125,10.700000000000001,66.25,39791.666666666664,,10.958333333333334,032 Grunewald,mc032,pm10,pm10_24h,24h,11.0
2019-08-21,6885.0,0.004166666666666667,1026.93625,39.27777777777778,17.020833333333332,240.83333333333334,7.95,33.625,10.366666666666665,68.91666666666667,45833.333333333336,,15.825000000000001,032 Grunewald,mc032,pm10,pm10_24h,24h,10.0
2019-08-22,6885.0,0.0,1027.1066666666668,42.0,17.929166666666667,117.5,7.6000000000000005,22.041666666666668,10.3125,66.5,44166.666666666664,,15.170833333333334,032 Grunewald,mc032,pm10,pm10_24h,24h,13.0
2019-08-23,6885.0,0.0,1025.8904166666666,44.05555555555556,19.520833333333332,109.58333333333333,6.920833333333333,13.875,11.954166666666666,66.70833333333333,42916.666666666664,,13.841666666666667,032 Grunewald,mc032,pm10,pm10_24h,24h,16.0
2019-08-24,6885.0,0.0,1023.4116666666667,38.94444444444444,21.245833333333334,71.25,9.095833333333333,15.958333333333334,13.070833333333333,63.333333333333336,42291.666666666664,,17.604166666666668,032 Grunewald,mc032,pm10,pm10_24h,24h,19.0
2019-08-25,6885.0,0.0,1020.7791666666667,38.333333333333336,24.21666666666667,90.41666666666667,12.516666666666666,22.166666666666668,14.441666666666668,55.416666666666664,41041.666666666664,,22.22083333333333,032 Grunewald,mc032,pm10,pm10_24h,24h,18.0
2019-08-26,6885.0,0.06666666666666667,1019.6,21.72222222222222,22.995833333333334,70.0,8.054166666666665,53.333333333333336,16.51666666666667,70.33333333333333,32208.333333333332,,16.775,032 Grunewald,mc032,pm10,pm10_24h,24h,24.0
2019-08-27,6885.0,0.0,1017.275,33.22222222222222,23.775000000000002,105.83333333333333,9.391666666666667,39.958333333333336,17.366666666666667,71.83333333333333,29750.0,,18.1375,032 Grunewald,mc032,pm10,pm10_24h,24h,23.0
2019-08-28,6885.0,0.0,1014.4541666666668,27.444444444444443,24.2625,164.58333333333334,9.4125,45.541666666666664,16.970833333333335,67.66666666666667,27083.333333333332,,19.837500000000002,032 Grunewald,mc032,pm10,pm10_24h,24h,22.0
